timestamp_utc,event,detail
2025-08-13T16:02:18.148213,tab_view,About Me
2025-08-13T16:02:18.153070,tab_view,Resume
2025-08-13T16:02:18.158696,tab_view,Projects
2025-08-13T16:02:18.180075,tab_view,Hobbies
2025-08-13T16:02:18.186481,tab_view,Tech Stack
2025-08-13T16:02:18.206246,tab_view,Testimonials
2025-08-13T16:02:18.220031,tab_view,More
2025-08-13T16:08:00.051594,tab_view,About Me
2025-08-13T16:08:00.056712,tab_view,Resume
2025-08-13T16:08:00.062272,tab_view,Projects
2025-08-13T16:08:00.080654,tab_view,Hobbies
2025-08-13T16:08:00.087298,tab_view,Tech Stack
2025-08-13T16:08:00.097133,tab_view,Testimonials
2025-08-13T16:08:00.109720,tab_view,More
2025-08-13T16:08:20.894065,tab_view,About Me
2025-08-13T16:08:20.899542,tab_view,Resume
2025-08-13T16:08:20.904855,tab_view,Projects
2025-08-13T16:08:20.925882,tab_view,Hobbies
2025-08-13T16:08:20.933496,tab_view,Tech Stack
2025-08-13T16:08:20.947607,tab_view,Testimonials
2025-08-13T16:08:20.963340,tab_view,More
2025-08-13T16:08:31.815881,tab_view,About Me
2025-08-13T16:08:31.821678,tab_view,Resume
2025-08-13T16:08:31.827420,tab_view,Projects
2025-08-13T16:08:31.847208,tab_view,Hobbies
2025-08-13T16:08:31.855240,tab_view,Tech Stack
2025-08-13T16:08:31.866984,tab_view,Testimonials
2025-08-13T16:08:31.881278,tab_view,More
2025-08-13T16:08:35.468755,tab_view,About Me
2025-08-13T16:08:35.473635,tab_view,Resume
2025-08-13T16:08:35.478794,tab_view,Projects
2025-08-13T16:08:35.498020,tab_view,Hobbies
2025-08-13T16:08:35.506039,tab_view,Tech Stack
2025-08-13T16:08:35.514537,tab_view,Testimonials
2025-08-13T16:08:35.527702,tab_view,More
2025-08-13T16:08:43.831536,tab_view,About Me
2025-08-13T16:08:43.836567,tab_view,Resume
2025-08-13T16:08:43.843388,tab_view,Projects
2025-08-13T16:08:43.866140,tab_view,Hobbies
2025-08-13T16:08:43.873058,tab_view,Tech Stack
2025-08-13T16:08:43.881989,tab_view,Testimonials
2025-08-13T16:08:43.894716,tab_view,More
2025-08-13T16:37:07.811954,tab_view,About Me
2025-08-13T16:37:07.816988,tab_view,Resume
2025-08-13T16:37:07.822135,tab_view,Projects
2025-08-13T16:37:07.845267,tab_view,Hobbies
2025-08-13T16:37:07.851771,tab_view,Tech Stack
2025-08-13T16:37:07.868624,tab_view,Testimonials
2025-08-13T16:37:07.885104,tab_view,More
